日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2017/9/1,"17,805,405","3,851,834,126",215.00,217.50,215.00,216.50, 0.00,"6,956"
2017/9/4,"15,053,185","3,273,164,145",216.50,218.00,215.50,217.50,+1.00,"8,635"
2017/9/5,"34,514,275","7,503,488,603",218.00,218.00,216.50,218.00,+0.50,"7,065"
2017/9/6,"28,148,528","6,117,444,609",216.50,218.00,216.00,217.00,-1.00,"6,999"
2017/9/7,"19,198,540","4,170,321,680",218.00,218.50,216.00,217.00, 0.00,"6,586"
2017/9/8,"25,512,045","5,549,520,265",217.00,218.00,216.50,218.00,+1.00,"7,969"
2017/9/11,"19,387,886","4,215,723,762",219.00,219.50,216.50,217.00,-1.00,"5,305"
2017/9/12,"24,862,321","5,437,521,978",219.00,219.50,217.50,219.00,+2.00,"5,992"
2017/9/13,"18,336,541","3,998,984,438",217.50,219.00,217.50,218.00,-1.00,"4,598"
2017/9/14,"21,508,567","4,701,852,606",218.50,219.00,217.50,218.50,+0.50,"6,314"
2017/9/15,"48,901,103","10,668,230,939",218.50,219.00,217.00,218.50, 0.00,"5,253"
2017/9/18,"17,812,705","3,905,801,892",219.00,220.00,218.00,219.50,+1.00,"6,714"
2017/9/19,"26,255,575","5,742,129,525",221.50,221.50,220.00,221.50,+2.00,"11,072"
2017/9/20,"23,434,237","5,179,958,449",221.00,222.00,220.00,221.50, 0.00,"9,347"
2017/9/21,"18,645,565","4,125,047,365",221.00,223.00,220.00,221.00,-0.50,"6,604"
2017/9/22,"22,456,370","4,930,530,220",221.50,222.00,218.50,218.50,-2.50,"7,431"
2017/9/25,"17,458,286","3,797,761,662",217.50,218.50,217.00,217.00,-1.50,"6,250"
2017/9/26,"25,003,901","5,392,244,669",217.50,218.00,214.00,214.00,-3.00,"8,768"
2017/9/27,"24,794,510","5,353,580,844",217.50,217.50,215.00,215.00,+1.00,"7,326"
2017/9/28,"31,616,062","6,788,534,834",215.00,216.00,213.50,214.00,-1.00,"7,749"
2017/9/29,"23,954,708","5,184,362,760",216.00,217.50,215.50,216.50,+2.50,"7,507"
2017/9/30,"4,254,045","924,823,765",218.00,218.50,216.50,216.50, 0.00,"2,446"
2017/10/2,"28,360,551","6,233,064,680",219.50,220.50,218.50,220.50,+4.00,"10,605"
2017/10/3,"38,330,938","8,497,244,691",219.00,223.00,219.00,222.50,+2.00,"12,703"
2017/10/5,"25,397,939","5,691,251,336",222.00,225.50,222.00,224.50,+2.00,"8,601"
2017/10/6,"16,040,516","3,604,683,862",225.00,225.50,223.50,224.50, 0.00,"7,612"
2017/10/11,"67,649,562","15,633,206,754",226.50,233.50,226.50,233.00,+8.50,"20,879"
2017/10/12,"44,176,186","10,450,920,432",235.00,237.50,234.50,237.50,+4.50,"16,490"
2017/10/13,"23,145,071","5,465,540,327",237.50,237.50,234.50,237.50, 0.00,"10,507"
2017/10/16,"20,673,072","4,906,963,355",237.50,238.00,236.00,238.00,+0.50,"6,764"
2017/10/17,"17,652,304","4,171,891,244",238.00,238.00,235.00,235.50,-2.50,"6,336"
2017/10/18,"28,970,850","6,901,364,183",239.50,239.50,237.00,237.50,+2.00,"10,330"
2017/10/19,"23,481,776","5,636,769,464",239.50,241.50,239.00,239.00,+1.50,"9,033"
2017/10/20,"27,056,035","6,456,386,670",238.00,239.50,237.50,237.50,-1.50,"7,206"
2017/10/23,"15,959,559","3,820,927,681",239.00,240.00,238.50,239.00,+1.50,"6,686"
2017/10/24,"16,100,570","3,842,463,252",240.00,240.00,238.00,238.00,-1.00,"6,034"
2017/10/25,"17,205,187","4,099,505,436",238.50,239.00,237.50,238.00, 0.00,"5,808"
2017/10/26,"12,959,717","3,069,618,429",237.00,238.00,236.00,236.00,-2.00,"4,947"
2017/10/27,"18,040,541","4,304,460,160",237.50,240.00,237.50,239.00,+3.00,"5,715"
2017/10/30,"30,241,990","7,358,619,170",242.00,245.00,241.50,243.00,+4.00,"10,609"
2017/10/31,"22,582,013","5,497,062,659",243.50,245.00,241.50,243.00, 0.00,"8,176"
