日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2017/9/1,30.156,4.584315,1.1892,110.1,1.29145,0.7936,7.82595,6.5781,12.9461,0.71595
2017/9/4,30.101,4.608885,1.1896,109.46,1.2942,0.7956,7.82535,6.5311,12.966,0.71705
2017/9/5,30.07,4.586457,1.1881,109.455,1.29255,0.79635,7.82525,6.55625,12.9729,0.71775
2017/9/6,30.105,4.606336,1.1944,108.71,1.3042,0.7991,7.8246,6.53555,12.90365,0.72335
2017/9/7,30.062,4.619808,1.19485,109.015,1.3046,0.80015,7.8196,6.5072,12.8172,0.719
2017/9/8,30.006,4.634097,1.2049,107.74,1.31365,0.80895,7.80875,6.47505,12.8257,0.72955
2017/9/11,30.026,4.601394,1.20165,108.48,1.31945,0.80475,7.8141,6.5254,12.9005,0.7266
2017/9/12,30.03,4.591137,1.197,109.65,1.3202,0.80405,7.81305,6.54085,12.8931,0.73045
2017/9/13,30.056,4.60509,1.19925,109.98,1.3313,0.80405,7.811,6.5267,13.0332,0.73025
2017/9/14,30.106,4.591617,1.1897,110.41,1.32065,0.7999,7.8119,6.55675,13.1408,0.72385
2017/9/15,30.075,4.592152,1.19195,110.72,1.34325,0.8001,7.8128,6.5492,13.1348,0.72435
2017/9/18,30.108,4.590266,1.1929,111.38,1.35595,0.8007,7.8162,6.5591,13.2102,0.7301
2017/9/19,30.137,4.57781,1.1998,111.72,1.35175,0.79845,7.80325,6.5833,13.3314,0.72855
2017/9/20,30.132,4.585488,1.20075,111.435,1.35215,0.8036,7.8079,6.57115,13.2789,0.73485
2017/9/21,30.208,4.582886,1.191,112.515,1.3502,0.7962,7.80585,6.5915,13.3555,0.7322
2017/9/22,30.191,4.58864,1.1993,111.97,1.35775,0.79535,7.80805,6.5795,13.2015,0.7317
2017/9/25,30.172,4.565325,1.1908,112.25,1.35265,0.79595,7.8132,6.60895,13.2866,0.72915
2017/9/26,30.216,4.562556,1.1813,111.67,1.3478,0.7922,7.81375,6.6226,13.3282,0.722
2017/9/27,30.303,4.568329,1.1749,112.72,1.3389,0.78525,7.81005,6.6333,13.4698,0.71975
2017/9/28,30.405,4.560568,1.1769,112.715,1.33755,0.78285,7.80925,6.66695,13.5827,0.7203
2017/9/29,30.336,4.563353,1.18025,112.425,1.3416,0.7846,7.8108,6.64775,13.49705,0.72185
2017/9/30,30.305,4.558781,1.1815,112.465,1.3397,0.78285,7.8104,6.6476,13.50275,0.72075
2017/10/2,30.413,4.555381,1.17425,112.945,1.33255,0.7805,7.81245,6.6763,13.63465,0.71765
2017/10/3,30.45,4.566647,1.17455,113.09,1.3281,0.78145,7.8114,6.6679,13.634,0.7174
2017/10/5,30.35,4.56807,1.1774,112.67,1.3196,0.78315,7.8079,6.64395,13.5967,0.71595
2017/10/6,30.376,4.56451,1.16925,113.04,1.30655,0.7771,7.80625,6.6548,13.7023,0.7104
2017/10/11,30.232,4.597773,1.184,112.26,1.3206,0.779,7.80405,6.57535,13.5859,0.7073
2017/10/12,30.213,4.588599,1.1862,112.28,1.32455,0.78245,7.80695,6.58435,13.48205,0.7112
2017/10/13,30.185,4.58815,1.1828,112,1.33145,0.78435,7.8072,6.5789,13.38435,0.71495
2017/10/16,30.158,4.581694,1.17905,111.755,1.3299,0.78815,7.80905,6.5823,13.2957,0.7182
2017/10/17,30.205,4.569563,1.17735,112.165,1.32835,0.7856,7.80775,6.61005,13.3128,0.71785
2017/10/18,30.2,4.565213,1.1763,112.51,1.31855,0.78365,7.80815,6.61525,13.45155,0.71355
2017/10/19,30.23,4.56074,1.1795,112.65,1.31665,0.7861,7.8027,6.6283,13.5436,0.70415
2017/10/20,30.241,4.56751,1.1806,113.41,1.31315,0.78415,7.80335,6.6209,13.668,0.6982
2017/10/23,30.262,4.557487,1.17545,113.705,1.31745,0.7818,7.8029,6.64005,13.7375,0.69745
2017/10/24,30.27,4.560932,1.1761,113.695,1.31925,0.7781,7.80435,6.6368,13.73225,0.6928
2017/10/25,30.266,4.557152,1.1767,113.86,1.3132,0.77135,7.8033,6.64145,13.7302,0.6891
2017/10/26,30.229,4.554422,1.18175,113.76,1.32375,0.7687,7.80165,6.6373,14.1916,0.6874
2017/10/27,30.277,4.550936,1.1631,114.11,1.3075,0.76415,7.8037,6.6529,14.30395,0.68355
2017/10/30,30.205,4.542892,1.1627,113.7,1.3163,0.76745,7.79985,6.64885,14.087,0.68515
2017/10/31,30.17,4.551175,1.1644,113.065,1.32145,0.7679,7.8016,6.62905,14.06155,0.68485
2017/11/1,30.175,4.560046,1.16465,113.92,1.3302,0.76745,7.8013,6.61725,14.1293,0.69135
2017/11/2,30.186,4.569436,1.16385,114.11,1.3263,0.77085,7.8015,6.60605,13.9694,0.6912
2017/11/3,30.172,4.554192,1.1647,114.085,1.3044,0.7678,7.8027,6.6251,14.0842,0.6924
2017/11/6,30.204,4.550988,1.161,114.28,1.30795,0.7653,7.80245,6.6368,14.205,0.6887
2017/11/7,30.17,4.549395,1.15875,114.14,1.31565,0.7666,7.80265,6.63165,14.16705,0.6925
2017/11/8,30.187,4.547732,1.1605,113.815,1.31395,0.7664,7.8019,6.6378,14.17605,0.69115
2017/11/9,30.18,4.542784,1.1603,113.57,1.31405,0.7682,7.79855,6.6435,14.14955,0.6968
2017/11/10,30.172,4.53805,1.16275,113.575,1.3138,0.7672,7.8009,6.64865,14.2739,0.69345
2017/11/13,30.19,4.535715,1.16405,113.495,1.30945,0.7649,7.8023,6.65605,14.42195,0.69215
2017/11/14,30.18,4.538589,1.1688,113.86,1.31065,0.76205,7.8029,6.64965,14.46945,0.68515
2017/11/15,30.15,4.543273,1.1826,112.84,1.3174,0.75845,7.8056,6.6362,14.3744,0.688
2017/11/16,30.158,4.543122,1.1779,113.17,1.31595,0.75895,7.8084,6.63815,14.3744,0.68515
2017/11/17,30.101,4.533903,1.1792,112.62,1.32305,0.7553,7.8117,6.6391,14.1793,0.67965
2017/11/20,30.102,4.534084,1.1772,112.045,1.3248,0.75675,7.81065,6.63905,14.0491,0.68365
2017/11/21,30.06,4.52388,1.1746,112.51,1.3255,0.75415,7.8114,6.64475,14.1183,0.68025
